status,nrl_player_name,afl_player_name,notes
approved,Joseph-Aukuso Sua'ali'i,Joseph Suaalii,User-confirmed manual reconciliation.
approved,Joshua Schuster,Josh Schuster,User-confirmed manual reconciliation.
approved,Karlos Filiga,Karl Filiga,User-confirmed manual reconciliation.
approved,Kenneath Bromwich,Kenny Bromwich,User-confirmed manual reconciliation.
approved,Kenny Edwards,Ken Edwards,User-confirmed manual reconciliation.
approved,Khaild Deeb,Khalid Deeb,User-confirmed manual reconciliation.
approved,Kiti Glymin,Yaw Kiti Glymin,User-confirmed manual reconciliation.
approved,KL Iro,Kayal Iro,User-confirmed manual reconciliation.
approved,Lafi Manua,Lufi Manua,User-confirmed manual reconciliation.
approved,Lamar Manuel-Liolevave,Lamar Liolevave,User-confirmed manual reconciliation.
approved,Loko Jnr Pasifiki Tonga,Loko Pasifiki Tonga,User-confirmed manual reconciliation.
approved,Mark Kheirallah,Mark Khierallah,User-confirmed manual reconciliation.
approved,Matt Duffie,Matthew Duffie,User-confirmed manual reconciliation.
approved,Matt French,Matthew French,User-confirmed manual reconciliation.
approved,Matt Fuller,Matthew Fuller,User-confirmed manual reconciliation.
approved,Matt Utai,Matthew Utai,User-confirmed manual reconciliation.
approved,Matt White,Matthew White,User-confirmed manual reconciliation.
approved,Matthew Cooper,Matt Cooper,User-confirmed manual reconciliation.
approved,Matthew Dufty,Matt Dufty,User-confirmed manual reconciliation.
approved,Matthew Eisenhuth,Matt Eisenhuth,User-confirmed manual reconciliation.
approved,Matthew Gafa,Matt Gafa,User-confirmed manual reconciliation.
approved,Matthew Groat,Matt Groat,User-confirmed manual reconciliation.
approved,Matthew Lodge,Matt Lodge,User-confirmed manual reconciliation.
approved,Matthew Petersen,Matt Petersen,User-confirmed manual reconciliation.
approved,Michael Goodridge,Michael Goodrich,User-confirmed manual reconciliation.
approved,Michael Picker,Mick Picker,User-confirmed manual reconciliation.
approved,Mick Brabek,Michael Brabek,User-confirmed manual reconciliation.
approved,Mitch Frei,Mitchell Frei,User-confirmed manual reconciliation.
approved,Mitchell Achurch,Mitch Achurch,User-confirmed manual reconciliation.
approved,Mitchell Cornish,Mitch Cornish,User-confirmed manual reconciliation.
approved,Mosese Pangai,Moses Pangi,User-confirmed manual reconciliation.
approved,Mosese Suli,Moses Suli,User-confirmed manual reconciliation.
approved,Nathaniel Neale,Nathanial Neale,User-confirmed manual reconciliation.
approved,Nicholas Hynes,Nicho Hynes,User-confirmed manual reconciliation.
approved,Obadiah Geia,Obe Geia,User-confirmed manual reconciliation.
approved,Paterika Vaivai,Paterkia Vaivai,User-confirmed manual reconciliation.
approved,Ratu Peni Tagive,Peni Tagive,User-confirmed manual reconciliation.
approved,Richard Barnett,Richie Barnett,User-confirmed manual reconciliation.
approved,Richie Fa'aoso,Richard Fa'aoso,User-confirmed manual reconciliation.
approved,Sam Falaafi,Sam Faalafi,User-confirmed manual reconciliation.
approved,Samuel Healey,Sam Healey,User-confirmed manual reconciliation.
approved,Shaquai Mitchell,Shaq Mitchell,User-confirmed manual reconciliation.
approved,Shaun Wessel,Shaun Wessell,User-confirmed manual reconciliation.
approved,Siti Moceidreke,Sitiveni Moceidreke,User-confirmed manual reconciliation.
approved,Stephen Crowe,Steve Crowe,User-confirmed manual reconciliation.
approved,Stephen Parsons,Steve Parsons,User-confirmed manual reconciliation.
approved,Steve La Caze,Steve Lacaze,User-confirmed manual reconciliation.
approved,Steve Price,Steven Price,User-confirmed manual reconciliation.
approved,Steven Crouch,Steve Crouch,User-confirmed manual reconciliation.
approved,Te Maire Martin,Temaire Martin,User-confirmed manual reconciliation.
approved,Teui Robati,TC Robati,User-confirmed manual reconciliation.
approved,Tevita Pangai Junior,Tevita Pangai,User-confirmed manual reconciliation.
approved,Timoteo Lafai,Tim Lafai,User-confirmed manual reconciliation.
approved,Tony Satini,Wellentony Tafua Satini,User-confirmed manual reconciliation.
approved,Tuipulotu Katoa,Tui Katoa,User-confirmed manual reconciliation.
approved,Wade Humphreys,Wade Humphries,User-confirmed manual reconciliation.
approved,Wes Tillott,Wes Tillot,User-confirmed manual reconciliation.
approved,Wesley Maas,Wes Maas,User-confirmed manual reconciliation.
approved,Will Hopoate,William Hopoate,User-confirmed manual reconciliation.
approved,Will Pearsall,William Pearsal,User-confirmed manual reconciliation.
approved,Willie Leyshon,William Leyshon,User-confirmed manual reconciliation.
approved,Jake Arthur,Jakob Arthur,User-confirmed manual reconciliation.
approved,Josh Curran,Joshua Curran,User-confirmed manual reconciliation.
approved,Fetalaiga Pauga,Junior Pauga,User-confirmed manual reconciliation.
approved,JJ Collins,JJ Felise,User confirmed JJ Collins changed his name from JJ Felise.
